iter	Logloss
0	0.6616603262
1	0.6353270768
2	0.6116449241
3	0.5902033249
4	0.5679080938
5	0.5512547743
6	0.5365663567
7	0.5239407635
8	0.5132001326
9	0.5043887554
10	0.4957653276
11	0.4878493955
12	0.4813483936
13	0.4750346958
14	0.4673392686
15	0.4617496465
16	0.4570753674
17	0.4525221242
18	0.4491654466
19	0.4454261933
20	0.4409406828
21	0.4379470518
22	0.4354230638
23	0.4327930527
24	0.4295060433
25	0.4262438473
26	0.4234513456
27	0.421134621
28	0.4189497775
29	0.4172449099
30	0.4157313302
31	0.4145563625
32	0.4127052768
33	0.4115260387
34	0.4102186984
35	0.4088206349
36	0.4076259843
37	0.4058905275
38	0.4033536361
39	0.4024612324
40	0.4015194784
41	0.400158845
42	0.399145856
43	0.3974198207
44	0.3964713487
45	0.395538668
46	0.3946009284
47	0.3936671007
48	0.3928433822
49	0.3908989311
50	0.3902829369
51	0.3887132478
52	0.3875145419
53	0.3860161903
54	0.3848444791
55	0.3839798588
56	0.383243443
57	0.3821443494
58	0.3815885608
59	0.380214471
60	0.3796095368
61	0.3790339528
62	0.378542333
63	0.3779406247
64	0.3773890143
65	0.3761713118
66	0.3752495273
67	0.3745289745
68	0.3740466124
69	0.3734807981
70	0.3730842027
71	0.3720886026
72	0.3715914016
73	0.3711991176
74	0.3700364081
75	0.3691475683
76	0.368753062
77	0.368349339
78	0.3677035031
79	0.367184438
80	0.3667803361
81	0.366348328
82	0.3657694772
83	0.3653506081
84	0.3644319573
85	0.3638109553
86	0.3631580327
87	0.3627716167
88	0.362104316
89	0.3611881231
90	0.3602838094
91	0.3598136134
92	0.3591556831
93	0.3587994979
94	0.35843512
95	0.3579085484
96	0.3575244366
97	0.3571199763
98	0.3565578384
99	0.3557177652
100	0.3553162645
101	0.3549474012
102	0.3545291875
103	0.353756038
104	0.3534400582
105	0.3531027979
106	0.3526272665
107	0.3521923091
108	0.3518231386
109	0.3514740195
110	0.3510942395
111	0.3506183394
112	0.3503708193
113	0.3499469885
114	0.3496492885
115	0.3490179382
116	0.3485756586
117	0.3483434792
118	0.3480878075
119	0.3477000089
120	0.3472870641
121	0.3470528827
122	0.3467770519
123	0.3464404778
124	0.3458866196
125	0.3453331659
126	0.3451662921
127	0.3446398895
128	0.3439086709
129	0.3436219849
130	0.3432218718
131	0.3429680331
132	0.342685551
133	0.3423910819
134	0.3412065493
135	0.3409708164
136	0.3406607148
137	0.3399507049
138	0.3395573251
139	0.3388754825
140	0.338683529
141	0.338394165
142	0.3379262579
143	0.3374988582
144	0.3369744576
145	0.3366957645
146	0.3355103051
147	0.3352572857
148	0.3348678282
149	0.33467844
150	0.3343463206
151	0.3337662358
152	0.3335525922
153	0.3333624872
154	0.3332315176
155	0.3325734798
156	0.332224289
157	0.3319766
158	0.3316208603
159	0.3313823009
160	0.3308375723
161	0.3306400171
162	0.3304501527
163	0.3301845064
164	0.3299617383
165	0.3296621335
166	0.3294443835
167	0.3291396173
168	0.3285177141
169	0.3283440455
170	0.328096039
171	0.3278727691
172	0.3272675841
173	0.3269566837
174	0.3266466179
175	0.3262567968
176	0.3259515545
177	0.3255656146
178	0.32527112
179	0.3250427246
180	0.3247666122
181	0.324595724
182	0.3238520833
183	0.3236231554
184	0.3233742477
185	0.3221690287
186	0.3219325635
187	0.3216263022
188	0.3213249104
189	0.3207858092
190	0.3203267193
191	0.3201164143
192	0.319732451
193	0.3193946531
194	0.3188863767
195	0.3184778764
196	0.3183643264
197	0.3178055322
198	0.3176009005
199	0.3173664989
200	0.3171681193
201	0.3168185138
202	0.3165759451
203	0.3162630529
204	0.3160203767
205	0.3158199387
206	0.3155756342
207	0.3153977874
208	0.314504073
209	0.3142292304
210	0.3137228947
211	0.3133588855
212	0.3131600297
213	0.3129758745
214	0.312802759
215	0.3125042499
216	0.3121558273
217	0.3120094248
218	0.3117824938
219	0.3116180318
220	0.3113894776
221	0.3112170277
222	0.3109865841
223	0.3108379799
224	0.3106563184
225	0.3103111984
226	0.3100160125
227	0.3096098164
228	0.3093648002
229	0.308809411
230	0.3084371938
231	0.3081359966
232	0.3079621385
233	0.3076601067
234	0.30728323
235	0.3063781073
236	0.3061461993
237	0.3059643944
238	0.305735574
239	0.3050485752
240	0.3048428324
241	0.3045890552
242	0.3044058985
243	0.304134968
244	0.3037193298
245	0.303522471
246	0.3033473636
247	0.3031591223
